Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Average_Precision,Epochs_Completed,Best_Val_Epoch,TN,FP,FN,TP
Week 4 Logistic Regression,0.8055,0.6572,0.5588,0.604,0.8419,0.6543,0,0,,,,
Deep Learning Neural Network,0.7568590350047304,0.5282555282555282,0.7678571428571429,0.6259097525473072,0.8452863577863577,0.6389064423843795,19,9,585.0,192.0,65.0,215.0
