Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_F1_Mean
Gradient Boosting,0.7991483321504613,0.6542372881355932,0.516042780748663,0.5769805680119582,0.8427859154201864,0.5822367088619911
Logistic Regression,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,0.8419954015861943,0.5932058565875326
Random Forest,0.8034066713981547,0.6632996632996633,0.5267379679144385,0.587183308494784,0.841604019737012,0.57553792253162
Decision Tree,0.7970191625266146,0.6746031746031746,0.45454545454545453,0.5431309904153354,0.8277635691957942,0.5497213367005049
