Cluster,Customer_Count,Percentage,Avg_Tenure,Median_Tenure,Avg_Monthly_Charges,Median_Monthly_Charges,Avg_Total_Charges,Median_Total_Charges,Churned_Count,Churn_Rate,Non_Churn_Rate,Segment_Name
0,2362,33.536845094419995,55.06350550381033,59.0,89.62404741744284,93.375,4939.698676968671,4904.225,363.0,15.368331922099914,84.63166807790007,High-Value Loyal Customers
1,3155,44.79625159733068,16.264659270998415,12.0,67.27662440570523,70.25,1072.7267511885896,769.1,1393.0,44.15213946117274,55.84786053882726,New High-Charge At-Risk Customers
2,1526,21.666903308249324,30.54718217562254,25.0,21.079193971166447,20.15,668.0994429882045,528.5,113.0,7.404980340760157,92.59501965923984,Long-Term Budget Customers
