Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Average_Precision,TN,FP,FN,TP
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418817329303264,0.6338393413842976,926,109,165,209
Random Forest,0.7821149751596878,0.615916955017301,0.47593582887700536,0.5369532428355958,0.8179131468134024,0.5987999402245162,924,111,196,178
